Date,Year,Month,YearMonth,Weekday,Week
2019-01-01,2019,1,2019-01,Tuesday,1
2019-01-02,2019,1,2019-01,Wednesday,1
2019-01-03,2019,1,2019-01,Thursday,1
2019-01-04,2019,1,2019-01,Friday,1
2019-01-05,2019,1,2019-01,Saturday,1
2019-01-06,2019,1,2019-01,Sunday,1
2019-01-07,2019,1,2019-01,Monday,2
2019-01-08,2019,1,2019-01,Tuesday,2
2019-01-09,2019,1,2019-01,Wednesday,2
2019-01-10,2019,1,2019-01,Thursday,2
2019-01-11,2019,1,2019-01,Friday,2
2019-01-12,2019,1,2019-01,Saturday,2
2019-01-13,2019,1,2019-01,Sunday,2
2019-01-14,2019,1,2019-01,Monday,3
2019-01-15,2019,1,2019-01,Tuesday,3
2019-01-16,2019,1,2019-01,Wednesday,3
2019-01-17,2019,1,2019-01,Thursday,3
2019-01-18,2019,1,2019-01,Friday,3
2019-01-19,2019,1,2019-01,Saturday,3
2019-01-20,2019,1,2019-01,Sunday,3
2019-01-21,2019,1,2019-01,Monday,4
2019-01-22,2019,1,2019-01,Tuesday,4
2019-01-23,2019,1,2019-01,Wednesday,4
2019-01-24,2019,1,2019-01,Thursday,4
2019-01-25,2019,1,2019-01,Friday,4
2019-01-26,2019,1,2019-01,Saturday,4
2019-01-27,2019,1,2019-01,Sunday,4
2019-01-28,2019,1,2019-01,Monday,5
2019-01-29,2019,1,2019-01,Tuesday,5
2019-01-30,2019,1,2019-01,Wednesday,5
2019-01-31,2019,1,2019-01,Thursday,5
2019-02-01,2019,2,2019-02,Friday,5
2019-02-02,2019,2,2019-02,Saturday,5
2019-02-03,2019,2,2019-02,Sunday,5
2019-02-04,2019,2,2019-02,Monday,6
2019-02-05,2019,2,2019-02,Tuesday,6
2019-02-06,2019,2,2019-02,Wednesday,6
2019-02-07,2019,2,2019-02,Thursday,6
2019-02-08,2019,2,2019-02,Friday,6
2019-02-09,2019,2,2019-02,Saturday,6
2019-02-10,2019,2,2019-02,Sunday,6
2019-02-11,2019,2,2019-02,Monday,7
2019-02-12,2019,2,2019-02,Tuesday,7
2019-02-13,2019,2,2019-02,Wednesday,7
2019-02-14,2019,2,2019-02,Thursday,7
2019-02-15,2019,2,2019-02,Friday,7
2019-02-16,2019,2,2019-02,Saturday,7
2019-02-17,2019,2,2019-02,Sunday,7
2019-02-18,2019,2,2019-02,Monday,8
2019-02-19,2019,2,2019-02,Tuesday,8
2019-02-20,2019,2,2019-02,Wednesday,8
2019-02-21,2019,2,2019-02,Thursday,8
2019-02-22,2019,2,2019-02,Friday,8
2019-02-23,2019,2,2019-02,Saturday,8
2019-02-24,2019,2,2019-02,Sunday,8
2019-02-25,2019,2,2019-02,Monday,9
2019-02-26,2019,2,2019-02,Tuesday,9
2019-02-27,2019,2,2019-02,Wednesday,9
2019-02-28,2019,2,2019-02,Thursday,9
2019-03-01,2019,3,2019-03,Friday,9
2019-03-02,2019,3,2019-03,Saturday,9
2019-03-03,2019,3,2019-03,Sunday,9
2019-03-04,2019,3,2019-03,Monday,10
2019-03-05,2019,3,2019-03,Tuesday,10
2019-03-06,2019,3,2019-03,Wednesday,10
2019-03-07,2019,3,2019-03,Thursday,10
2019-03-08,2019,3,2019-03,Friday,10
2019-03-09,2019,3,2019-03,Saturday,10
2019-03-10,2019,3,2019-03,Sunday,10
2019-03-11,2019,3,2019-03,Monday,11
2019-03-12,2019,3,2019-03,Tuesday,11
2019-03-13,2019,3,2019-03,Wednesday,11
2019-03-14,2019,3,2019-03,Thursday,11
2019-03-15,2019,3,2019-03,Friday,11
2019-03-16,2019,3,2019-03,Saturday,11
2019-03-17,2019,3,2019-03,Sunday,11
2019-03-18,2019,3,2019-03,Monday,12
2019-03-19,2019,3,2019-03,Tuesday,12
2019-03-20,2019,3,2019-03,Wednesday,12
2019-03-21,2019,3,2019-03,Thursday,12
2019-03-22,2019,3,2019-03,Friday,12
2019-03-23,2019,3,2019-03,Saturday,12
2019-03-24,2019,3,2019-03,Sunday,12
2019-03-25,2019,3,2019-03,Monday,13
2019-03-26,2019,3,2019-03,Tuesday,13
2019-03-27,2019,3,2019-03,Wednesday,13
2019-03-28,2019,3,2019-03,Thursday,13
2019-03-29,2019,3,2019-03,Friday,13
2019-03-30,2019,3,2019-03,Saturday,13
2019-03-31,2019,3,2019-03,Sunday,13
2019-04-01,2019,4,2019-04,Monday,14
2019-04-02,2019,4,2019-04,Tuesday,14
2019-04-03,2019,4,2019-04,Wednesday,14
2019-04-04,2019,4,2019-04,Thursday,14
2019-04-05,2019,4,2019-04,Friday,14
2019-04-06,2019,4,2019-04,Saturday,14
2019-04-07,2019,4,2019-04,Sunday,14
2019-04-08,2019,4,2019-04,Monday,15
2019-04-09,2019,4,2019-04,Tuesday,15
2019-04-10,2019,4,2019-04,Wednesday,15
2019-04-11,2019,4,2019-04,Thursday,15
2019-04-12,2019,4,2019-04,Friday,15
2019-04-13,2019,4,2019-04,Saturday,15
2019-04-14,2019,4,2019-04,Sunday,15
2019-04-15,2019,4,2019-04,Monday,16
2019-04-16,2019,4,2019-04,Tuesday,16
2019-04-17,2019,4,2019-04,Wednesday,16
2019-04-18,2019,4,2019-04,Thursday,16
2019-04-19,2019,4,2019-04,Friday,16
2019-04-20,2019,4,2019-04,Saturday,16
2019-04-21,2019,4,2019-04,Sunday,16
2019-04-22,2019,4,2019-04,Monday,17
2019-04-23,2019,4,2019-04,Tuesday,17
2019-04-24,2019,4,2019-04,Wednesday,17
2019-04-25,2019,4,2019-04,Thursday,17
2019-04-26,2019,4,2019-04,Friday,17
2019-04-27,2019,4,2019-04,Saturday,17
2019-04-28,2019,4,2019-04,Sunday,17
2019-04-29,2019,4,2019-04,Monday,18
2019-04-30,2019,4,2019-04,Tuesday,18
2019-05-01,2019,5,2019-05,Wednesday,18
2019-05-02,2019,5,2019-05,Thursday,18
2019-05-03,2019,5,2019-05,Friday,18
2019-05-04,2019,5,2019-05,Saturday,18
2019-05-05,2019,5,2019-05,Sunday,18
2019-05-06,2019,5,2019-05,Monday,19
2019-05-07,2019,5,2019-05,Tuesday,19
2019-05-08,2019,5,2019-05,Wednesday,19
2019-05-09,2019,5,2019-05,Thursday,19
2019-05-10,2019,5,2019-05,Friday,19
2019-05-11,2019,5,2019-05,Saturday,19
2019-05-12,2019,5,2019-05,Sunday,19
2019-05-13,2019,5,2019-05,Monday,20
2019-05-14,2019,5,2019-05,Tuesday,20
2019-05-15,2019,5,2019-05,Wednesday,20
2019-05-16,2019,5,2019-05,Thursday,20
2019-05-17,2019,5,2019-05,Friday,20
2019-05-18,2019,5,2019-05,Saturday,20
2019-05-19,2019,5,2019-05,Sunday,20
2019-05-20,2019,5,2019-05,Monday,21
2019-05-21,2019,5,2019-05,Tuesday,21
2019-05-22,2019,5,2019-05,Wednesday,21
2019-05-23,2019,5,2019-05,Thursday,21
2019-05-24,2019,5,2019-05,Friday,21
2019-05-25,2019,5,2019-05,Saturday,21
2019-05-26,2019,5,2019-05,Sunday,21
2019-05-27,2019,5,2019-05,Monday,22
2019-05-28,2019,5,2019-05,Tuesday,22
2019-05-29,2019,5,2019-05,Wednesday,22
2019-05-30,2019,5,2019-05,Thursday,22
2019-05-31,2019,5,2019-05,Friday,22
2019-06-01,2019,6,2019-06,Saturday,22
2019-06-02,2019,6,2019-06,Sunday,22
2019-06-03,2019,6,2019-06,Monday,23
2019-06-04,2019,6,2019-06,Tuesday,23
2019-06-05,2019,6,2019-06,Wednesday,23
2019-06-06,2019,6,2019-06,Thursday,23
2019-06-07,2019,6,2019-06,Friday,23
2019-06-08,2019,6,2019-06,Saturday,23
2019-06-09,2019,6,2019-06,Sunday,23
2019-06-10,2019,6,2019-06,Monday,24
2019-06-11,2019,6,2019-06,Tuesday,24
2019-06-12,2019,6,2019-06,Wednesday,24
2019-06-13,2019,6,2019-06,Thursday,24
2019-06-14,2019,6,2019-06,Friday,24
2019-06-15,2019,6,2019-06,Saturday,24
2019-06-16,2019,6,2019-06,Sunday,24
2019-06-17,2019,6,2019-06,Monday,25
2019-06-18,2019,6,2019-06,Tuesday,25
2019-06-19,2019,6,2019-06,Wednesday,25
2019-06-20,2019,6,2019-06,Thursday,25
2019-06-21,2019,6,2019-06,Friday,25
2019-06-22,2019,6,2019-06,Saturday,25
2019-06-23,2019,6,2019-06,Sunday,25
2019-06-24,2019,6,2019-06,Monday,26
2019-06-25,2019,6,2019-06,Tuesday,26
2019-06-26,2019,6,2019-06,Wednesday,26
2019-06-27,2019,6,2019-06,Thursday,26
2019-06-28,2019,6,2019-06,Friday,26
2019-06-29,2019,6,2019-06,Saturday,26
2019-06-30,2019,6,2019-06,Sunday,26
2019-07-01,2019,7,2019-07,Monday,27
2019-07-02,2019,7,2019-07,Tuesday,27
2019-07-03,2019,7,2019-07,Wednesday,27
2019-07-04,2019,7,2019-07,Thursday,27
2019-07-05,2019,7,2019-07,Friday,27
2019-07-06,2019,7,2019-07,Saturday,27
2019-07-07,2019,7,2019-07,Sunday,27
2019-07-08,2019,7,2019-07,Monday,28
2019-07-09,2019,7,2019-07,Tuesday,28
2019-07-10,2019,7,2019-07,Wednesday,28
2019-07-11,2019,7,2019-07,Thursday,28
2019-07-12,2019,7,2019-07,Friday,28
2019-07-13,2019,7,2019-07,Saturday,28
2019-07-14,2019,7,2019-07,Sunday,28
2019-07-15,2019,7,2019-07,Monday,29
2019-07-16,2019,7,2019-07,Tuesday,29
2019-07-17,2019,7,2019-07,Wednesday,29
2019-07-18,2019,7,2019-07,Thursday,29
2019-07-19,2019,7,2019-07,Friday,29
2019-07-20,2019,7,2019-07,Saturday,29
2019-07-21,2019,7,2019-07,Sunday,29
2019-07-22,2019,7,2019-07,Monday,30
2019-07-23,2019,7,2019-07,Tuesday,30
2019-07-24,2019,7,2019-07,Wednesday,30
2019-07-25,2019,7,2019-07,Thursday,30
2019-07-26,2019,7,2019-07,Friday,30
2019-07-27,2019,7,2019-07,Saturday,30
2019-07-28,2019,7,2019-07,Sunday,30
2019-07-29,2019,7,2019-07,Monday,31
2019-07-30,2019,7,2019-07,Tuesday,31
2019-07-31,2019,7,2019-07,Wednesday,31
2019-08-01,2019,8,2019-08,Thursday,31
2019-08-02,2019,8,2019-08,Friday,31
2019-08-03,2019,8,2019-08,Saturday,31
2019-08-04,2019,8,2019-08,Sunday,31
2019-08-05,2019,8,2019-08,Monday,32
2019-08-06,2019,8,2019-08,Tuesday,32
2019-08-07,2019,8,2019-08,Wednesday,32
2019-08-08,2019,8,2019-08,Thursday,32
2019-08-09,2019,8,2019-08,Friday,32
2019-08-10,2019,8,2019-08,Saturday,32
2019-08-11,2019,8,2019-08,Sunday,32
2019-08-12,2019,8,2019-08,Monday,33
2019-08-13,2019,8,2019-08,Tuesday,33
2019-08-14,2019,8,2019-08,Wednesday,33
2019-08-15,2019,8,2019-08,Thursday,33
2019-08-16,2019,8,2019-08,Friday,33
2019-08-17,2019,8,2019-08,Saturday,33
2019-08-18,2019,8,2019-08,Sunday,33
2019-08-19,2019,8,2019-08,Monday,34
2019-08-20,2019,8,2019-08,Tuesday,34
2019-08-21,2019,8,2019-08,Wednesday,34
2019-08-22,2019,8,2019-08,Thursday,34
2019-08-23,2019,8,2019-08,Friday,34
2019-08-24,2019,8,2019-08,Saturday,34
2019-08-25,2019,8,2019-08,Sunday,34
2019-08-26,2019,8,2019-08,Monday,35
2019-08-27,2019,8,2019-08,Tuesday,35
2019-08-28,2019,8,2019-08,Wednesday,35
2019-08-29,2019,8,2019-08,Thursday,35
2019-08-30,2019,8,2019-08,Friday,35
2019-08-31,2019,8,2019-08,Saturday,35
2019-09-01,2019,9,2019-09,Sunday,35
2019-09-02,2019,9,2019-09,Monday,36
2019-09-03,2019,9,2019-09,Tuesday,36
2019-09-04,2019,9,2019-09,Wednesday,36
2019-09-05,2019,9,2019-09,Thursday,36
2019-09-06,2019,9,2019-09,Friday,36
2019-09-07,2019,9,2019-09,Saturday,36
2019-09-08,2019,9,2019-09,Sunday,36
2019-09-09,2019,9,2019-09,Monday,37
2019-09-10,2019,9,2019-09,Tuesday,37
2019-09-11,2019,9,2019-09,Wednesday,37
2019-09-12,2019,9,2019-09,Thursday,37
2019-09-13,2019,9,2019-09,Friday,37
2019-09-14,2019,9,2019-09,Saturday,37
2019-09-15,2019,9,2019-09,Sunday,37
2019-09-16,2019,9,2019-09,Monday,38
2019-09-17,2019,9,2019-09,Tuesday,38
2019-09-18,2019,9,2019-09,Wednesday,38
2019-09-19,2019,9,2019-09,Thursday,38
2019-09-20,2019,9,2019-09,Friday,38
2019-09-21,2019,9,2019-09,Saturday,38
2019-09-22,2019,9,2019-09,Sunday,38
2019-09-23,2019,9,2019-09,Monday,39
2019-09-24,2019,9,2019-09,Tuesday,39
2019-09-25,2019,9,2019-09,Wednesday,39
2019-09-26,2019,9,2019-09,Thursday,39
2019-09-27,2019,9,2019-09,Friday,39
2019-09-28,2019,9,2019-09,Saturday,39
2019-09-29,2019,9,2019-09,Sunday,39
2019-09-30,2019,9,2019-09,Monday,40
2019-10-01,2019,10,2019-10,Tuesday,40
2019-10-02,2019,10,2019-10,Wednesday,40
2019-10-03,2019,10,2019-10,Thursday,40
2019-10-04,2019,10,2019-10,Friday,40
2019-10-05,2019,10,2019-10,Saturday,40
2019-10-06,2019,10,2019-10,Sunday,40
2019-10-07,2019,10,2019-10,Monday,41
2019-10-08,2019,10,2019-10,Tuesday,41
2019-10-09,2019,10,2019-10,Wednesday,41
2019-10-10,2019,10,2019-10,Thursday,41
2019-10-11,2019,10,2019-10,Friday,41
2019-10-12,2019,10,2019-10,Saturday,41
2019-10-13,2019,10,2019-10,Sunday,41
2019-10-14,2019,10,2019-10,Monday,42
2019-10-15,2019,10,2019-10,Tuesday,42
2019-10-16,2019,10,2019-10,Wednesday,42
2019-10-17,2019,10,2019-10,Thursday,42
2019-10-18,2019,10,2019-10,Friday,42
2019-10-19,2019,10,2019-10,Saturday,42
2019-10-20,2019,10,2019-10,Sunday,42
2019-10-21,2019,10,2019-10,Monday,43
2019-10-22,2019,10,2019-10,Tuesday,43
2019-10-23,2019,10,2019-10,Wednesday,43
2019-10-24,2019,10,2019-10,Thursday,43
2019-10-25,2019,10,2019-10,Friday,43
2019-10-26,2019,10,2019-10,Saturday,43
2019-10-27,2019,10,2019-10,Sunday,43
2019-10-28,2019,10,2019-10,Monday,44
2019-10-29,2019,10,2019-10,Tuesday,44
2019-10-30,2019,10,2019-10,Wednesday,44
2019-10-31,2019,10,2019-10,Thursday,44
2019-11-01,2019,11,2019-11,Friday,44
2019-11-02,2019,11,2019-11,Saturday,44
2019-11-03,2019,11,2019-11,Sunday,44
2019-11-04,2019,11,2019-11,Monday,45
2019-11-05,2019,11,2019-11,Tuesday,45
2019-11-06,2019,11,2019-11,Wednesday,45
2019-11-07,2019,11,2019-11,Thursday,45
2019-11-08,2019,11,2019-11,Friday,45
2019-11-09,2019,11,2019-11,Saturday,45
2019-11-10,2019,11,2019-11,Sunday,45
2019-11-11,2019,11,2019-11,Monday,46
2019-11-12,2019,11,2019-11,Tuesday,46
2019-11-13,2019,11,2019-11,Wednesday,46
2019-11-14,2019,11,2019-11,Thursday,46
2019-11-15,2019,11,2019-11,Friday,46
2019-11-16,2019,11,2019-11,Saturday,46
2019-11-17,2019,11,2019-11,Sunday,46
2019-11-18,2019,11,2019-11,Monday,47
2019-11-19,2019,11,2019-11,Tuesday,47
2019-11-20,2019,11,2019-11,Wednesday,47
2019-11-21,2019,11,2019-11,Thursday,47
2019-11-22,2019,11,2019-11,Friday,47
2019-11-23,2019,11,2019-11,Saturday,47
2019-11-24,2019,11,2019-11,Sunday,47
2019-11-25,2019,11,2019-11,Monday,48
2019-11-26,2019,11,2019-11,Tuesday,48
2019-11-27,2019,11,2019-11,Wednesday,48
2019-11-28,2019,11,2019-11,Thursday,48
2019-11-29,2019,11,2019-11,Friday,48
2019-11-30,2019,11,2019-11,Saturday,48
2019-12-01,2019,12,2019-12,Sunday,48
2019-12-02,2019,12,2019-12,Monday,49
2019-12-03,2019,12,2019-12,Tuesday,49
2019-12-04,2019,12,2019-12,Wednesday,49
2019-12-05,2019,12,2019-12,Thursday,49
2019-12-06,2019,12,2019-12,Friday,49
2019-12-07,2019,12,2019-12,Saturday,49
2019-12-08,2019,12,2019-12,Sunday,49
2019-12-09,2019,12,2019-12,Monday,50
2019-12-10,2019,12,2019-12,Tuesday,50
2019-12-11,2019,12,2019-12,Wednesday,50
2019-12-12,2019,12,2019-12,Thursday,50
2019-12-13,2019,12,2019-12,Friday,50
2019-12-14,2019,12,2019-12,Saturday,50
2019-12-15,2019,12,2019-12,Sunday,50
2019-12-16,2019,12,2019-12,Monday,51
2019-12-17,2019,12,2019-12,Tuesday,51
2019-12-18,2019,12,2019-12,Wednesday,51
2019-12-19,2019,12,2019-12,Thursday,51
2019-12-20,2019,12,2019-12,Friday,51
2019-12-21,2019,12,2019-12,Saturday,51
2019-12-22,2019,12,2019-12,Sunday,51
