User_id,is_converter,has_purchased_ever,first_seen,last_seen,R_quartile,F_quartile,RF_segment
51443820326,0,0,2019-05-11 13:37:00,2019-05-11 14:05:00,,1,
51448162784,1,1,2019-01-11 10:33:00,2019-12-12 19:22:00,4,2,42
51455512201,1,1,2019-09-10 10:00:00,2019-10-19 19:12:00,3,1,31
51462598385,1,1,2019-05-12 12:20:00,2019-12-20 21:15:00,4,2,42
51463622150,1,1,2019-10-13 19:18:00,2019-11-12 21:27:00,4,2,42
51465529647,1,1,2019-02-05 12:22:00,2019-12-12 21:15:00,4,2,42
51468519074,1,1,2019-03-11 15:00:00,2019-11-13 12:00:00,1,1,11
51472029210,1,1,2019-06-11 14:09:00,2019-10-22 11:03:00,1,1,11
51475146821,0,0,2019-04-11 22:03:00,2019-04-11 22:26:00,,1,
51477448981,1,1,2019-02-11 15:08:00,2019-11-15 19:10:00,4,1,41
51480378215,1,1,2019-04-09 12:30:00,2019-10-24 21:26:00,3,2,32
51481443687,1,1,2019-04-11 23:35:00,2019-08-20 21:30:00,2,2,22
51486113570,1,1,2019-08-10 17:22:00,2019-08-10 19:08:00,2,1,21
51508416101,1,1,2019-04-11 17:50:00,2019-04-11 18:19:00,1,1,11
51512259423,0,0,2019-10-28 15:23:00,2019-10-28 15:25:00,,1,
51517997197,1,1,2019-06-07 16:11:00,2019-10-22 18:12:00,3,2,32
51520340170,0,0,2019-02-11 14:43:00,2019-02-11 15:00:00,,1,
51526464449,1,1,2019-09-13 11:11:00,2019-10-31 17:11:00,3,2,32
51535548031,0,0,2019-10-17 13:00:00,2019-10-17 13:08:00,,1,
51544071846,1,1,2019-10-14 17:18:00,2019-10-15 15:13:00,3,1,31
51558926605,1,1,2019-10-22 13:14:00,2019-10-22 13:35:00,3,1,31
51559049343,0,0,2019-08-10 21:45:00,2019-08-10 21:45:00,,1,
51559552625,0,0,2019-06-10 17:10:00,2019-06-10 17:24:00,,1,
51560282867,1,1,2019-05-10 12:00:00,2019-06-10 12:25:00,1,1,11
51563947377,0,0,2019-10-15 23:18:00,2019-10-15 23:18:00,,1,
51565158157,1,1,2019-06-11 14:53:00,2019-10-28 19:26:00,2,2,22
51572478237,0,0,2019-03-11 14:11:00,2019-03-11 14:52:00,,1,
51574504569,0,0,2019-01-11 10:39:00,2019-01-11 11:14:00,,1,
51576830037,0,0,2019-02-11 15:16:00,2019-02-11 15:37:00,,1,
51585704576,1,1,2019-01-11 10:30:00,2019-03-11 19:51:00,1,1,11
51589427926,1,1,2019-04-03 11:00:00,2019-10-23 20:23:00,3,2,32
51590616683,0,0,2019-04-11 20:53:00,2019-04-11 21:17:00,,1,
51591878847,0,0,2019-10-10 21:11:00,2019-10-10 21:11:00,,1,
51592642763,1,1,2019-03-11 13:42:00,2019-04-30 13:02:00,1,2,12
51594471927,0,0,2019-11-10 11:18:00,2019-11-10 11:30:00,,1,
51596197877,1,1,2019-04-11 11:07:00,2019-10-24 11:40:00,3,2,32
51597745082,0,0,2019-04-11 17:33:00,2019-04-11 17:48:00,,1,
51607023962,0,0,2019-10-21 23:14:00,2019-10-21 23:17:00,,1,
51613127728,0,0,2019-10-23 23:50:00,2019-10-23 23:59:00,,1,
51613167885,1,1,2019-01-10 22:12:00,2019-10-31 15:28:00,3,1,31
51616505593,0,0,2019-02-10 19:23:00,2019-02-10 19:42:00,,1,
51624877138,1,1,2019-06-19 14:08:00,2019-10-14 13:15:00,1,1,11
51626168971,1,1,2019-01-10 19:00:00,2019-10-21 17:14:00,3,1,31
51629142904,1,1,2019-01-10 15:00:00,2019-09-03 18:10:00,2,2,22
51632985791,0,0,2019-09-10 11:04:00,2019-09-10 11:14:00,,1,
51633993644,0,0,2019-10-17 23:22:00,2019-10-17 23:34:00,,1,
51637676508,1,1,2019-03-11 11:09:00,2019-03-11 14:34:00,1,1,11
51639618110,0,0,2019-07-10 17:18:00,2019-07-10 17:23:00,,1,
51645696004,1,1,2019-07-10 11:24:00,2019-10-21 18:09:00,3,1,31
51646469395,0,0,2019-12-11 19:14:00,2019-12-11 19:14:00,,1,
51649462163,0,0,2019-10-17 12:00:00,2019-10-17 12:34:00,,1,
51658664493,0,0,2019-10-24 22:10:00,2019-10-24 22:43:00,,1,
51660154036,0,0,2019-10-22 13:45:00,2019-10-22 13:45:00,,1,
51663160423,0,0,2019-10-20 14:25:00,2019-10-30 14:43:00,,1,
51666541383,0,0,2019-03-11 14:00:00,2019-03-11 14:10:00,,1,
51666673751,0,0,2019-05-11 14:18:00,2019-05-11 14:46:00,,1,
51672425707,0,0,2019-02-11 14:41:00,2019-02-11 14:59:00,,1,
51676463689,1,1,2019-05-27 11:12:00,2019-10-10 17:47:00,2,2,22
51677518852,0,0,2019-03-11 14:53:00,2019-03-11 14:58:00,,1,
51687659448,0,0,2019-10-31 17:00:00,2019-10-31 17:44:00,,1,
51692749291,1,1,2019-10-14 14:00:00,2019-10-14 14:30:00,3,1,31
51692946248,1,1,2019-03-11 14:59:00,2019-03-11 15:03:00,1,1,11
51701618886,0,0,2019-02-11 14:51:00,2019-02-11 14:59:00,,1,
51714485793,1,1,2019-07-11 15:10:00,2019-07-11 15:49:00,2,1,21
51719048333,0,0,2019-08-23 17:09:00,2019-10-29 23:18:00,,1,
51720194122,0,0,2019-10-20 10:16:00,2019-10-20 10:16:00,,1,
51720357111,1,1,2019-10-28 17:00:00,2019-10-28 17:16:00,3,1,31
51723980162,1,1,2019-03-11 15:10:00,2019-03-11 15:13:00,1,1,11
51725305614,1,1,2019-01-01 11:00:00,2019-11-28 21:26:00,4,2,42
51728632725,0,0,2019-10-18 19:18:00,2019-10-18 19:27:00,,1,
51732222836,0,0,2019-02-11 15:11:00,2019-02-11 15:11:00,,1,
51743891883,0,0,2019-02-11 12:57:00,2019-02-11 13:36:00,,1,
51746374740,1,1,2019-10-11 15:50:00,2019-10-11 15:54:00,2,1,21
51762528321,0,0,2019-02-11 15:11:00,2019-02-11 15:43:00,,1,
51767314403,0,0,2019-10-22 19:14:00,2019-10-22 19:15:00,,1,
51768712908,1,1,2019-01-13 13:04:00,2019-10-30 14:22:00,1,1,11
51777317807,1,1,2019-10-21 12:00:00,2019-10-21 12:20:00,3,1,31
51777661967,0,0,2019-12-10 14:10:00,2019-12-10 14:18:00,,1,
51784286337,0,0,2019-10-14 11:04:00,2019-10-14 11:14:00,,1,
51786146119,1,1,2019-06-10 18:10:00,2019-07-10 20:26:00,2,1,21
51791819800,0,0,2019-10-02 17:00:35,2019-10-02 17:00:35,,1,
51795247161,1,1,2019-03-10 23:30:00,2019-03-10 23:55:00,1,1,11
51804424828,0,0,2019-10-16 19:00:00,2019-10-16 19:17:00,,1,
51805850313,0,0,2019-10-13 21:45:00,2019-10-13 22:02:00,,1,
51809677865,0,0,2019-10-24 17:16:00,2019-10-24 17:23:00,,1,
51814420266,0,0,2019-10-20 19:00:00,2019-10-20 19:17:00,,1,
51815411608,0,0,2019-10-20 10:20:00,2019-10-20 10:26:00,,1,
51816608418,0,0,2019-09-10 13:00:00,2019-09-10 13:15:00,,1,
51819961569,0,0,2019-03-11 14:44:00,2019-03-11 15:11:00,,1,
51821460103,1,1,2019-12-10 18:15:00,2019-12-10 18:25:00,4,1,41
51822615834,0,0,2019-10-27 19:00:00,2019-10-27 19:17:00,,1,
51826884161,0,0,2019-02-11 14:49:00,2019-02-11 15:11:00,,1,
51829322973,1,1,2019-03-11 15:05:00,2019-03-11 15:08:00,1,1,11
51829569218,0,0,2019-02-10 19:00:00,2019-02-10 19:07:00,,1,
51832237276,0,0,2019-10-16 10:20:00,2019-10-16 10:22:00,,1,
51838622321,0,0,2019-10-24 17:03:00,2019-10-24 17:12:00,,1,
51840127985,1,1,2019-02-11 14:44:00,2019-02-11 14:47:00,1,1,11
51840332148,1,1,2019-02-11 15:04:00,2019-02-11 15:06:00,1,1,11
51845675366,0,0,2019-12-10 23:18:00,2019-12-10 23:28:00,,1,
51849471720,1,1,2019-03-11 13:37:00,2019-03-11 13:41:00,1,1,11
51859784960,0,0,2019-10-28 12:00:00,2019-10-28 12:20:00,,1,
51863272495,0,0,2019-04-11 22:34:00,2019-04-11 22:57:00,,1,
51863353060,1,1,2019-04-11 21:24:00,2019-04-11 21:55:00,1,1,11
51871605199,0,0,2019-04-10 12:00:00,2019-04-10 12:40:00,,1,
51872149089,0,0,2019-10-21 17:25:00,2019-10-21 17:30:00,,1,
51875286469,1,1,2019-10-17 22:10:00,2019-10-17 22:29:00,3,1,31
51876683702,0,0,2019-03-11 13:59:00,2019-03-11 14:01:00,,1,
51883832383,1,1,2019-05-16 12:00:00,2019-10-30 19:29:00,1,1,11
51888851862,1,1,2019-10-29 11:18:00,2019-10-29 11:30:00,3,1,31
51892634497,1,1,2019-02-11 15:17:00,2019-02-11 15:19:00,1,1,11
51893446663,0,0,2019-10-26 17:04:00,2019-10-26 17:29:00,,1,
51895612143,1,1,2019-10-22 19:19:00,2019-10-23 19:27:00,3,1,31
51902267461,0,0,2019-08-11 23:01:00,2019-08-11 23:30:00,,1,
51911187107,0,0,2019-10-13 22:10:00,2019-10-13 22:25:00,,1,
51919803460,0,0,2019-11-10 23:18:00,2019-11-10 23:18:00,,1,
51932772204,1,1,2019-10-26 10:20:00,2019-10-26 10:22:00,3,1,31
51936108956,1,1,2019-07-11 13:38:00,2019-11-11 20:53:00,2,1,21
51940324591,1,1,2019-02-08 13:00:00,2019-12-10 13:07:00,4,2,42
51945183373,1,1,2019-02-10 21:05:00,2019-07-03 15:30:00,1,2,12
51954519023,0,0,2019-10-20 14:00:00,2019-10-20 14:12:00,,1,
51955524783,0,0,2019-10-21 19:14:00,2019-10-21 19:19:00,,1,
51962746412,0,0,2019-10-24 12:00:00,2019-10-24 12:14:00,,1,
51962945277,0,0,2019-10-24 23:14:00,2019-10-24 23:20:00,,1,
51965507652,1,1,2019-02-10 17:00:00,2019-12-10 19:25:00,4,1,41
51968118114,0,0,2019-10-21 15:23:00,2019-10-21 15:25:00,,1,
51968438515,0,0,2019-10-18 17:18:00,2019-10-18 17:26:00,,1,
51969791374,1,1,2019-08-19 17:00:00,2019-10-31 18:41:00,3,2,32
51970999139,1,1,2019-10-21 21:14:00,2019-10-21 21:25:00,3,1,31
51978529551,1,1,2019-10-25 19:14:00,2019-10-25 19:21:00,3,1,31
51982480153,0,0,2019-10-13 22:18:00,2019-10-13 22:18:00,,1,
51983921534,0,0,2019-03-11 13:58:00,2019-03-11 13:58:00,,1,
51993965030,1,1,2019-04-11 19:52:00,2019-04-11 20:23:00,1,1,11
52002433649,0,0,2019-10-26 19:00:00,2019-10-26 19:26:00,,1,
52005335676,1,1,2019-10-16 17:15:00,2019-10-16 17:29:00,3,1,31
52008466873,0,0,2019-10-15 14:10:00,2019-10-15 14:18:00,,1,
52010733268,0,0,2019-12-20 17:10:00,2019-12-20 17:14:00,,1,
52011317619,0,0,2019-02-10 22:00:00,2019-02-10 22:02:00,,1,
52018010018,0,0,2019-01-10 19:00:00,2019-01-10 19:17:00,,1,
52021442169,0,0,2019-10-10 19:18:00,2019-11-10 19:20:00,,1,
52022072818,0,0,2019-03-11 14:35:00,2019-03-11 14:39:00,,1,
52028780773,0,0,2019-02-10 12:00:00,2019-02-10 12:20:00,,1,
52055074267,1,1,2019-10-21 23:19:00,2019-10-21 23:30:00,3,1,31
52056666335,1,1,2019-03-04 15:43:00,2019-10-30 17:56:00,1,1,11
52057057298,0,0,2019-08-15 21:30:00,2019-10-15 11:26:00,,1,
52057059159,0,0,2019-04-11 20:30:00,2019-04-11 20:46:00,,1,
52066176372,0,0,2019-12-11 12:46:00,2019-12-22 17:52:00,,1,
52070027372,0,0,2019-02-11 14:55:00,2019-02-11 15:13:00,,1,
52076934351,0,0,2019-08-10 23:18:00,2019-08-10 23:25:00,,1,
52085995220,0,0,2019-04-10 11:00:00,2019-04-10 11:13:00,,1,
52090547553,1,1,2019-10-24 19:25:00,2019-10-24 19:27:00,3,1,31
52092403180,0,0,2019-10-31 13:00:00,2019-10-31 13:08:00,,1,
52093239888,0,0,2019-10-28 13:00:00,2019-10-28 13:08:00,,1,
52094145973,1,1,2019-10-27 17:24:00,2019-10-27 17:29:00,3,1,31
52101336543,0,0,2019-10-28 19:00:00,2019-10-28 19:23:00,,1,
52101534583,0,0,2019-03-11 14:03:00,2019-03-11 14:05:00,,1,
52112239597,1,1,2019-10-23 19:45:00,2019-10-23 19:50:00,3,1,31
52114046370,1,1,2019-10-31 12:00:00,2019-10-31 12:20:00,3,1,31
52126975137,0,0,2019-02-11 14:53:00,2019-02-11 15:14:00,,1,
52127053360,1,1,2019-02-11 14:47:00,2019-02-11 14:49:00,1,1,11
52131345840,0,0,2019-10-11 22:13:00,2019-10-11 22:27:00,,1,
52132350231,1,1,2019-10-10 14:00:00,2019-10-10 14:30:00,2,1,21
52134813570,0,0,2019-08-10 19:18:00,2019-08-10 19:27:00,,1,
52138390226,0,0,2019-10-26 14:00:00,2019-10-26 14:07:00,,1,
52146571882,1,1,2019-11-11 20:09:00,2019-11-11 20:17:00,4,1,41
52150533397,0,0,2019-04-11 18:50:00,2019-04-11 19:21:00,,1,
52157383130,1,1,2019-01-11 10:36:00,2019-01-11 10:38:00,1,1,11
52157553629,0,0,2019-08-10 21:47:00,2019-08-10 21:59:00,,1,
52159511316,1,1,2019-10-31 21:14:00,2019-10-31 21:18:00,3,1,31
52164385692,0,0,2019-03-11 13:32:00,2019-03-11 13:35:00,,1,
52164722572,0,0,2019-10-24 22:00:00,2019-10-24 22:12:00,,1,
52165465642,0,0,2019-10-11 17:12:00,2019-10-11 17:22:00,,1,
52167489559,0,0,2019-10-16 17:00:00,2019-10-16 17:00:00,,1,
52168468684,0,0,2019-10-24 12:20:00,2019-10-24 13:05:00,,1,
52169959151,0,0,2019-10-17 22:00:00,2019-10-17 22:06:00,,1,
52176580407,0,0,2019-10-24 13:08:00,2019-10-24 13:18:00,,1,
52178524942,1,1,2019-04-11 23:05:00,2019-04-11 23:28:00,1,1,11
52179781847,1,1,2019-04-14 18:09:00,2019-10-29 13:28:00,3,1,31
52183942377,1,1,2019-07-11 21:24:00,2019-07-11 21:54:00,2,1,21
52194023423,0,0,2019-02-11 15:14:00,2019-02-11 15:25:00,,1,
52195562881,0,0,2019-03-11 15:15:00,2019-03-11 15:23:00,,1,
52195970192,0,0,2019-02-10 15:23:00,2019-02-10 15:25:00,,1,
52202013311,1,1,2019-11-10 13:00:00,2019-11-11 13:10:00,3,1,31
52202209844,0,0,2019-10-14 19:18:00,2019-10-14 19:27:00,,1,
52202543340,0,0,2019-03-11 14:22:00,2019-03-11 14:27:00,,1,
52205716885,1,1,2019-04-30 23:10:00,2019-10-30 14:18:00,2,1,21
52206085693,0,0,2019-10-17 15:23:00,2019-10-17 15:25:00,,1,
52214454516,0,0,2019-10-26 22:58:00,2019-10-26 23:18:00,,1,
52219601809,0,0,2019-04-11 19:36:00,2019-04-11 19:44:00,,1,
52222290151,0,0,2019-10-22 11:23:00,2019-10-22 11:32:00,,1,
52233328559,0,0,2019-10-17 19:00:00,2019-10-17 19:13:00,,1,
52240234858,1,1,2019-10-19 13:10:00,2019-10-19 13:28:00,3,1,31
52243841613,0,0,2019-01-10 10:20:00,2019-01-10 10:22:00,,1,
52246240339,1,1,2019-02-11 15:00:00,2019-02-11 15:02:00,1,1,11
52257079968,0,0,2019-02-11 15:06:00,2019-02-11 15:26:00,,1,
52260620086,0,0,2019-03-11 15:22:00,2019-03-11 15:59:00,,1,
52263844200,0,0,2019-12-10 15:20:00,2019-12-10 15:51:00,,1,
52270907150,0,0,2019-10-15 11:26:00,2019-10-19 11:30:00,,1,
52272121514,0,0,2019-10-26 14:10:00,2019-10-26 14:18:00,,1,
52274720210,0,0,2019-03-11 14:41:00,2019-03-11 14:42:00,,1,
